Kalimat,Label Asli,Prediksi Naive Bayes
woee pagi kirim sms tagih tapera,negative,positive
batal tapera simpel,negative,positive
sami mawon salah tangan perintah berantas judi online pokok senang banget main bansos muhadjir ikutaan pinjam tangan paduka ukt tapera ajar pakcm akalaan,negative,positive
potong tapera gaji,negative,positive
potong tapera,positive,negative
tapera program tabung wujud rumah impi,positive,negative
tapera mending ide dipake perintah ngeruk duit rakyat adil,negative,positive
tapera buang buang energi anjir hitung debatin liat banget bobrok cooo mayoritas masyrakat tolak ambil pusing awkwkwkwk,positive,negative
perintah bantu,negative,positive
masyarakat cari nafkah halal keluarga paksa setor negara bulan nama tapera masyarakat cari untung judi online bansos negara harus judi online,negative,positive
tapera,negative,positive
bubblingnya pecah pakai tapera,negative,positive
potong iur tapera bahaya,negative,positive
anjing kena tapera monyet,positive,negative
gapapa twitter blokir poko tapera,negative,positive
i got coba sgd rekening dbs bank gimana masuk idr rekening bank mandiri efisien beda platform fiat,negative,positive
tenang apbn sokong patungan tapera,negative,positive
tapera karyawan subsidi perintah,negative,positive
tingkat value tapera,positive,negative
berita korupsi timah perlahan hilang berita media kalah vina tapera tayang jam jam lagiberkat media fokus masyarakat alih,negative,positive
asikkk bayar tapera kak,negative,positive
tuju banget nek iki sakpole timbang tapera mending ikn biaya judi online ameh pirang trilyun genah genep,negative,positive
buru daftarin tapera kik wkw,positive,negative
nyuruh kerja serius gaji canda hadah tampar pakai slip gaji potong tapera,negative,positive
umur sehat bahagia kau dua nyicil tapera gimana langgeng bener tunggu adik mil,negative,positive
sungguh kepingin bijak aneh aneh realisasi blokir ruu tni polri siar realisasi judi online bansos tapera langsung jalan lihat tanggung pilih,positive,negative
kurban kurban tapera bodoh,negative,positive
tinggal naik pajak tapera nambal hutang,negative,positive
kritik ngaku pro rakyat tapak napak viral gede kayak tapera lain batas solar viral nyentuh tapak salah perintah kritik ngaku napak tau engga,negative,positive
janji ambil dana haji tapera,negative,positive
tapera nilai solusi milik rumah inklusif lanjut tapera cermin semangat solidaritas antarwarga negara milik rumah bantu milik euro idul adha tim nasional pusat mal kevin cat yuta cowok,positive,negative
maksud tenang pajak naik harga bbm naik ukt jalan tapera,negative,positive
mah sapi kena potong gaji tapera,negative,positive
pajak naik listrik bpjs tapera jalan lain,positive,negative
delay uu tapera lain kritik berisik kait solar platform gabisa perintah takut wkwkw,negative,positive
tapera orang kayak gin,negative,positive
penyesuaiantermasuk sesuai tunjangn penandatangan biji masyarakat sudh biasa segla bentuk sesuai bijak segla batas umr harga sembako tarif pajak bpjs tapera biaya pendidikn rakyat hidup,negative,positive
serius ruu siar tapera ruu polri kasuskasus korupsi judi online pinjam online politik dinasti remeh anggap sepele,positive,negative
bangkrut mah bangkrut goblok gila bule waras berfikir bangun ikn rencana investor goblok tapera ikninvestor karyawan negara,positive,negative
suruh tabung program tapera,negative,positive
kemarin heboh tapera muncul berita kayak gin,negative,positive
anggap solusi tapera tapera tolak rakyat dunia usaha tapera jual aset sisa tarik hutang imf prabowo gibran tambah hutang,negative,positive
tapera tapera wkwkwk,negative,positive
tutup berita timah tapera investor ikn,positive,negative
tenang ngumpulin anggar buruh tapera,negative,positive
orang masuk kategori abuse of power calon gibran solo boby medan kemarin gibran pilpres sebentar kaesang dki luthfi jateng henti,negative,positive
tapera gaje banget lamalama birokrasi,negative,positive
kait tapera apbn mana nalar woi,negative,positive
